,Unnamed: 0,value,variable,layer,rs,n_samples,scaling
0,0,0.4259885829761723,ENSD,0,7,1000,0.125
1,1,3.0987927021223616,PR Pre,0,7,1000,0.125
2,2,4.247272476608801,PR Post,0,7,1000,0.125
3,3,0.0350453819458683,Overlap,0,7,1000,0.125
4,4,0.1044604300632648,ENSD,1,7,1000,0.125
5,5,2.6504918562155413,PR Pre,1,7,1000,0.125
6,6,2.5834696310063694,PR Post,1,7,1000,0.125
7,7,0.0175288847337166,Overlap,1,7,1000,0.125
8,8,0.1424687617359755,ENSD,2,7,1000,0.125
9,9,2.3549234803257115,PR Pre,2,7,1000,0.125
10,10,2.774807220476358,PR Post,2,7,1000,0.125
11,11,0.0230647486944993,Overlap,2,7,1000,0.125
12,12,0.0910095324109376,ENSD,3,7,1000,0.125
13,13,2.2376054706636777,PR Pre,3,7,1000,0.125
14,14,2.1311167860478557,PR Post,3,7,1000,0.125
15,15,0.018921582493931,Overlap,3,7,1000,0.125
16,16,0.1183149371958503,ENSD,4,7,1000,0.125
17,17,2.2684131643564225,PR Pre,4,7,1000,0.125
18,18,2.126833863562552,PR Post,4,7,1000,0.125
19,19,0.0243376757328708,Overlap,4,7,1000,0.125
20,20,0.1416518057664123,ENSD,5,7,1000,0.125
21,21,2.2398323582084507,PR Pre,5,7,1000,0.125
22,22,2.124148226952156,PR Post,5,7,1000,0.125
23,23,0.0295732468366622,Overlap,5,7,1000,0.125
24,24,0.1619894036111449,ENSD,6,7,1000,0.125
25,25,2.1685210241980872,PR Pre,6,7,1000,0.125
26,26,2.1233822941529383,PR Post,6,7,1000,0.125
27,27,0.0349750593304634,Overlap,6,7,1000,0.125
28,28,0.175469369797482,ENSD,7,7,1000,0.125
29,29,2.060902948770751,PR Pre,7,7,1000,0.125
30,30,2.1239765645892623,PR Post,7,7,1000,0.125
31,31,0.0398774808272719,Overlap,7,7,1000,0.125
0,0,2.8252993605926675,ENSD,0,20,1000,2.0
1,1,2.78134231312062,PR Pre,0,20,1000,2.0
2,2,3.0446346282471755,PR Post,0,20,1000,2.0
3,3,0.3347991158564885,Overlap,0,20,1000,2.0
4,4,22.629578674940387,ENSD,1,20,1000,2.0
5,5,33.79406504356472,PR Pre,1,20,1000,2.0
6,6,25.96032018084624,PR Post,1,20,1000,2.0
7,7,0.0261572978148857,Overlap,1,20,1000,2.0
8,8,31.34880453886394,ENSD,2,20,1000,2.0
9,9,51.77561410967909,PR Pre,2,20,1000,2.0
