,train,valid,rs,mode,n_samples,scaling,train_aux
0,1.0,0.865,11,finetuning,100,0.125,
0,1.0,0.835,23,singletask,100,,
0,1.0,0.635,2,finetuning,20,0.25,
0,1.0,0.65,2,finetuning,20,0.125,
0,1.0,0.79,29,singletask,50,,
0,0.998,0.945,31,multitask,1000,,0.31614285714285717
0,1.0,0.825,26,finetuning,50,0.25,
0,1.0,0.745,25,singletask,200,,
0,0.998,0.935,26,finetuning,500,0.125,
0,1.0,0.685,21,finetuning,10,1.0,
0,1.0,0.805,32,multitask,20,,0.07481632653061225
0,0.998,0.83,9,finetuning,500,0.25,
0,0.996,0.94,26,finetuning,500,0.25,
0,0.998,0.74,42,singletask,1000,,
0,1.0,0.915,0,singletask,500,,
0,1.0,0.64,9,finetuning,10,0.5,
0,1.0,0.725,25,finetuning,50,1.0,
0,1.0,0.735,20,finetuning,100,0.25,
0,1.0,0.7,25,multitask,50,,0.10951020408163266
0,1.0,0.595,42,singletask,10,,
0,1.0,0.8,5,multitask,50,,0.1223469387755102
0,1.0,0.78,31,singletask,20,,
0,1.0,0.92,30,multitask,200,,0.0953061224489796
0,1.0,0.965,7,finetuning,50,1.0,
0,1.0,0.565,27,finetuning,20,0.25,
0,1.0,0.72,8,finetuning,50,2.0,
0,1.0,0.685,6,finetuning,50,0.125,
0,1.0,0.565,3,finetuning,10,1.0,
0,1.0,0.645,40,singletask,50,,
0,1.0,0.68,0,finetuning,10,0.125,
0,1.0,0.54,16,finetuning,10,0.25,
0,1.0,0.905,24,finetuning,1000,1.0,
0,1.0,0.93,3,finetuning,1000,2.0,
0,1.0,0.86,8,finetuning,200,2.0,
0,1.0,0.9,23,multitask,500,,0.2658979591836735
0,1.0,0.875,7,multitask,100,,0.11644897959183674
0,1.0,0.78,11,singletask,50,,
0,0.998,0.945,15,singletask,500,,
0,1.0,0.665,23,finetuning,20,0.5,
0,1.0,0.66,3,finetuning,50,0.25,
0,1.0,0.745,11,multitask,20,,0.059
0,1.0,0.68,8,singletask,100,,
0,1.0,0.795,4,finetuning,20,2.0,
0,1.0,0.92,18,finetuning,100,1.0,
0,1.0,0.72,13,singletask,10,,
0,1.0,0.775,3,finetuning,100,0.125,
0,1.0,0.86,22,finetuning,200,0.25,
0,1.0,0.645,1,singletask,10,,
0,0.999,0.95,15,finetuning,1000,0.5,
0,1.0,0.78,3,finetuning,20,2.0,
0,1.0,0.985,12,finetuning,200,1.0,
0,1.0,0.665,24,finetuning,20,0.5,
0,1.0,0.685,24,multitask,200,,0.12220408163265306
0,1.0,0.625,25,singletask,20,,
0,1.0,0.845,15,multitask,100,,0.11918367346938775
0,1.0,0.915,30,singletask,200,,
0,1.0,0.825,5,finetuning,200,0.5,
0,1.0,0.82,3,singletask,50,,
0,0.998,0.885,24,multitask,1000,,0.3167755102040816
0,0.996,0.865,5,finetuning,1000,0.25,
0,1.0,0.675,3,finetuning,20,0.125,
0,1.0,0.825,2,finetuning,100,2.0,
0,1.0,0.925,23,finetuning,100,1.0,
0,1.0,0.74,24,finetuning,200,0.125,
0,1.0,0.765,4,finetuning,10,1.0,
0,0.88,0.56,44,multitask,100,,0.07193877551020408
0,1.0,0.835,36,singletask,100,,
0,0.998,0.83,5,singletask,1000,,
0,1.0,0.73,40,multitask,50,,0.10024489795918368
0,1.0,0.885,21,finetuning,500,0.5,
0,1.0,0.74,28,finetuning,50,0.5,
0,0.998,0.84,8,finetuning,500,0.25,
0,0.998,0.66,27,finetuning,500,0.25,
0,1.0,0.995,0,finetuning,50,1.0,
0,1.0,0.86,17,finetuning,500,2.0,
0,1.0,0.765,9,multitask,20,,0.07920408163265306
0,1.0,0.795,37,multitask,500,,0.26648979591836736
0,1.0,0.845,21,finetuning,100,0.25,
0,1.0,0.79,29,multitask,20,,0.10744897959183673
0,1.0,0.78,20,finetuning,200,0.5,
0,1.0,0.96,22,finetuning,50,1.0,
0,1.0,0.725,28,finetuning,50,0.125,
0,1.0,0.72,27,finetuning,100,2.0,
0,1.0,0.92,6,finetuning,100,1.0,
0,1.0,0.765,11,finetuning,100,0.5,
0,1.0,0.935,26,finetuning,10,1.0,
0,1.0,0.73,7,finetuning,50,0.125,
0,1.0,0.87,16,finetuning,200,2.0,
0,1.0,0.505,1,finetuning,10,0.125,
0,1.0,0.865,9,multitask,500,,0.25695918367346937
0,1.0,0.935,13,finetuning,500,1.0,
0,0.997,0.87,2,finetuning,1000,2.0,
0,0.997,0.83,25,finetuning,1000,1.0,
0,1.0,0.765,43,multitask,10,,0.10046938775510204
0,1.0,0.755,8,finetuning,10,0.25,
0,0.997,0.84,17,finetuning,1000,0.25,
0,1.0,0.715,6,finetuning,20,0.5,
0,1.0,0.93,4,finetuning,500,0.5,
0,0.995,0.855,23,finetuning,200,0.25,
0,1.0,0.665,21,finetuning,20,2.0,
0,0.999,0.965,12,finetuning,1000,0.5,
0,1.0,0.725,7,finetuning,20,0.25,
0,1.0,0.975,12,finetuning,20,1.0,
