,train,valid,rs,mode,n_samples,scaling,train_aux
0,1.0,0.92,43,finetuning,1000,0.25,
0,1.0,0.955,41,finetuning,1000,2.0,
0,1.0,0.9,9,finetuning,500,0.5,
0,1.0,0.765,27,finetuning,1000,1.0,
0,1.0,0.525,28,multitask,10,,0.013428571428571429
0,1.0,0.855,21,multitask,500,,0.06877551020408164
0,1.0,0.51,1,finetuning,10,2.0,
0,1.0,0.435,42,finetuning,10,0.125,
0,1.0,0.91,18,finetuning,200,0.5,
0,1.0,0.785,25,finetuning,50,0.25,
0,1.0,0.88,32,finetuning,500,0.5,
0,1.0,0.5,44,finetuning,50,0.125,
0,1.0,0.68,28,singletask,200,,
0,1.0,0.505,41,finetuning,50,0.5,
0,1.0,0.695,29,finetuning,100,0.5,
0,1.0,0.85,28,finetuning,200,0.125,
0,1.0,0.965,30,finetuning,50,0.125,
0,1.0,0.88,48,finetuning,500,0.125,
0,1.0,0.5,5,finetuning,50,2.0,
0,1.0,0.66,45,finetuning,10,0.5,
0,1.0,0.515,40,finetuning,50,0.25,
0,1.0,0.56,36,finetuning,10,0.125,
0,1.0,0.84,0,finetuning,10,1.0,
0,1.0,0.815,20,finetuning,100,0.25,
0,1.0,0.835,24,singletask,1000,,
0,1.0,0.685,42,multitask,100,,0.049448979591836736
0,1.0,0.89,38,finetuning,1000,0.25,
0,1.0,0.675,24,finetuning,50,0.5,
0,1.0,0.5,40,finetuning,10,0.25,
0,1.0,0.91,29,finetuning,500,0.5,
0,1.0,0.97,26,finetuning,500,0.25,
0,1.0,0.985,14,finetuning,20,0.25,
0,1.0,0.81,31,multitask,500,,0.08612244897959184
0,1.0,0.935,49,finetuning,1000,0.125,
0,1.0,0.845,48,finetuning,500,0.25,
0,1.0,0.705,32,finetuning,100,0.5,
0,1.0,0.5,20,finetuning,10,0.5,
0,1.0,0.835,4,finetuning,50,1.0,
0,1.0,0.625,44,multitask,20,,0.013795918367346938
0,1.0,0.72,29,singletask,200,,
0,1.0,0.71,35,finetuning,200,2.0,
0,1.0,0.76,25,finetuning,10,0.25,
0,1.0,0.91,5,finetuning,1000,0.5,
0,1.0,0.975,30,finetuning,500,1.0,
0,1.0,0.805,9,finetuning,100,0.5,
0,1.0,0.79,43,finetuning,20,0.125,
0,1.0,0.625,28,finetuning,20,0.5,
0,1.0,0.47,7,finetuning,20,2.0,
0,1.0,0.91,33,finetuning,500,0.125,
0,1.0,0.87,33,singletask,1000,,
0,1.0,0.605,23,singletask,20,,
0,1.0,0.79,22,multitask,200,,0.05716326530612245
0,1.0,0.725,13,multitask,100,,0.050510204081632655
0,1.0,0.615,8,finetuning,20,1.0,
0,1.0,0.565,43,finetuning,20,0.5,
0,1.0,0.865,5,finetuning,50,0.25,
0,1.0,0.855,19,finetuning,1000,0.125,
0,1.0,0.52,19,multitask,20,,0.014857142857142857
0,1.0,0.5,37,finetuning,20,0.125,
0,1.0,0.995,14,finetuning,1000,0.5,
0,1.0,0.7,38,finetuning,200,0.25,
0,1.0,0.92,3,finetuning,100,0.125,
0,1.0,0.98,12,finetuning,100,0.125,
0,1.0,0.445,46,finetuning,20,2.0,
0,1.0,0.965,22,finetuning,200,0.25,
0,1.0,0.885,36,finetuning,1000,2.0,
0,1.0,0.675,22,finetuning,20,1.0,
0,1.0,0.865,31,finetuning,200,1.0,
0,1.0,0.675,40,singletask,200,,
0,1.0,0.5,39,singletask,10,,
0,1.0,0.78,0,multitask,20,,0.015959183673469386
0,1.0,0.81,42,finetuning,1000,2.0,
0,1.0,0.575,49,finetuning,20,1.0,
0,1.0,0.9,4,finetuning,20,0.25,
0,1.0,0.5,2,finetuning,20,0.5,
0,1.0,0.9,24,finetuning,1000,1.0,
0,1.0,0.47,41,finetuning,10,0.125,
0,1.0,0.85,28,finetuning,200,0.5,
0,1.0,0.54,25,finetuning,10,2.0,
0,1.0,0.92,15,finetuning,50,0.25,
0,1.0,0.47,41,finetuning,10,1.0,
0,1.0,0.835,47,finetuning,50,0.125,
0,1.0,0.695,27,singletask,500,,
0,1.0,0.85,29,finetuning,50,0.125,
0,1.0,0.76,19,finetuning,100,0.5,
0,1.0,0.405,21,finetuning,50,2.0,
0,1.0,0.805,33,finetuning,50,0.125,
0,1.0,0.83,34,finetuning,500,2.0,
0,1.0,0.885,45,finetuning,200,0.125,
0,1.0,0.875,25,finetuning,500,0.125,
0,1.0,0.52,46,singletask,100,,
0,1.0,0.53,35,finetuning,10,0.125,
0,1.0,0.785,45,finetuning,50,1.0,
0,1.0,0.875,21,finetuning,100,0.25,
0,1.0,0.505,42,finetuning,50,1.0,
0,1.0,0.88,13,finetuning,200,0.5,
0,1.0,0.66,40,finetuning,200,2.0,
0,1.0,0.71,9,finetuning,50,0.5,
0,1.0,0.93,21,finetuning,1000,0.125,
0,1.0,0.51,49,finetuning,10,2.0,
0,1.0,0.785,39,finetuning,500,0.5,
0,1.0,0.535,16,multitask,10,,0.01216326530612245
0,1.0,0.75,27,finetuning,500,0.25,
0,1.0,0.825,47,finetuning,100,0.5,
0,1.0,0.95,0,finetuning,100,1.0,
